player_id,total_playtime_hours,number_of_sessions,avg_session_time_minutes,purchases_made,level_achieved,days_since_last_login,churned
player_79,7.19,59,47.27,1,70,9,0
player_80,35.14,46,35.7,4,35,58,1
player_81,14.78,35,41.39,1,72,24,0
player_82,91.5,54,47.8,4,58,53,1
player_83,16.92,62,46.53,2,64,33,0
player_84,25.69,47,48.52,1,24,58,1
player_85,59.06,46,47.1,2,5,32,0
player_86,10.58,57,39.74,2,58,31,0
player_87,6.67,59,38.46,1,86,53,1
player_88,38.33,42,41.71,1,1,4,1
player_89,40.5,62,47.81,1,41,54,0
player_90,57.87,44,47.2,0,61,39,1
player_91,48.71,39,49.33,1,61,59,1
player_92,41.6,47,45.28,5,3,52,1
player_93,18.68,40,44.59,3,19,33,1
player_94,39.7,40,37.24,3,29,42,1
player_95,41.49,42,46.71,1,51,3,0
player_96,18.08,44,56.38,1,45,22,1
player_97,108.44,38,33.36,4,67,34,0
player_98,47.13,43,47.87,0,44,42,0
player_99,13.97,47,54.75,0,13,25,1
player_100,58.07,49,35.73,1,26,53,0
player_101,64.91,49,46.79,0,90,14,0
player_102,45.17,51,41.89,1,60,3,0
player_103,27.39,58,34.65,3,12,25,0
player_104,17.41,44,44.58,1,62,31,1
player_105,31.38,48,48.12,4,6,13,1
player_106,42.94,50,51.89,1,96,34,0
player_107,33.67,43,46.26,2,25,32,1
player_108,86.71,46,32.31,2,95,0,0
player_109,52.24,52,56.98,3,67,41,1
player_110,15.74,44,35.09,0,89,36,0
player_111,12.62,47,33.32,1,7,58,1
player_112,47.41,58,49.8,2,34,3,1
player_113,27.89,52,53.04,5,47,35,0
player_114,55.38,57,34.87,2,13,20,0
player_115,47.11,56,33.06,2,19,35,0
player_116,31.49,54,56.14,0,80,57,1
player_117,15.9,49,18.43,2,100,51,1
player_118,7.52,46,27.38,1,42,34,1
player_119,39.17,42,47.99,2,79,41,1
player_120,10.41,58,35.74,1,20,53,1
player_121,15.32,58,42.12,4,32,47,1
player_122,37.46,44,28.06,1,100,13,0
player_123,34.86,61,46.79,3,20,0,0
player_124,11.67,49,38.29,2,66,30,0
player_125,69.85,53,47.43,1,9,40,1
player_126,68.62,50,56.86,0,85,27,0
player_127,48.48,46,61.78,3,31,20,1
player_128,48.44,45,54.37,1,2,6,1
player_129,48.48,34,46.34,2,3,48,1
player_130,64.53,46,46.37,2,54,0,0
player_131,53.14,55,31.14,0,66,26,0
player_132,17.1,55,47.04,1,89,46,1
player_133,27.58,54,39.59,1,7,12,0
player_134,135.93,47,51.14,4,84,37,0
player_135,4.63,57,42.72,0,13,16,0
player_136,22.57,48,55.79,1,17,17,1
player_137,70.1,51,26.41,0,32,39,1
player_138,18.07,45,51.2,0,65,39,0
player_139,54.14,65,54.94,0,45,50,0
player_140,34.52,41,43.79,2,68,57,1
player_141,19.18,44,43.41,1,57,30,1
player_142,3.62,44,43.81,1,71,58,1
player_143,38.38,55,50.44,2,40,50,1
player_144,16.77,54,57.73,2,38,2,1
player_145,30.46,41,41.1,3,13,10,0
player_146,48.15,38,52.74,3,40,47,1
player_147,61.06,54,39.4,2,90,23,0
player_148,22.51,57,45.75,1,8,3,1
player_149,19.15,63,41.38,0,27,26,1
player_150,10.23,51,49.07,2,15,59,1
player_151,63.09,53,44.59,3,72,12,0
player_152,123.63,58,34.82,0,60,11,0
player_153,67.73,44,36.98,2,4,2,1
player_154,77.91,44,51.76,2,16,41,0
player_155,18.2,41,37.51,1,95,34,0
player_156,46.16,51,34.17,2,100,3,0
player_157,57.6,48,50.96,1,98,39,1
player_158,13.26,52,52.5,2,74,18,0
player_159,95.74,54,35.81,1,59,22,0
player_160,8.36,50,36.37,0,33,57,0
player_161,86.11,33,47.23,2,53,3,0
player_162,8.31,47,52.91,8,12,10,1
player_163,13.87,44,39.99,1,2,21,0
player_164,46.75,50,41.17,2,76,0,1
player_165,35.17,55,36.72,1,22,31,1
player_166,24.34,53,59.19,2,75,4,0
player_167,93.34,46,44.46,2,69,32,1
player_168,10.5,52,46.42,0,65,25,1
player_169,29.57,64,42.01,1,60,27,1
player_170,50.95,56,41.77,2,8,52,1
player_171,41.13,52,52.3,0,62,51,0
player_172,19.7,42,44.81,2,37,44,1
player_173,20.31,42,53.13,0,54,23,0
player_174,60.43,57,53.19,4,72,0,0
player_175,62.37,54,39.87,3,71,55,1
player_176,41.91,45,36.5,4,37,49,0
player_177,16.18,44,37.26,4,60,48,1
player_178,20.86,46,16.93,0,6,56,1
player_179,32.8,56,59.83,0,7,42,0
player_180,36.46,65,44.29,2,100,56,0
player_181,49.55,54,58.39,3,58,41,1
player_182,28.38,46,60.14,1,7,28,0
player_183,59.51,56,51.69,2,76,49,1
player_184,59.06,38,41.6,3,86,0,0
player_185,79.68,56,47.02,3,58,49,1
player_186,33.88,57,44.1,2,74,27,0
player_187,42.42,47,52.18,3,76,3,0
player_188,30.08,51,59.96,0,83,46,1
player_189,16.36,43,53.86,3,82,37,1
player_190,121.8,49,58.58,1,16,42,0
player_191,73.07,45,40.0,0,29,7,1
player_192,58.24,50,45.29,3,24,14,0
player_193,33.02,50,45.46,4,100,56,1
player_194,15.12,44,58.86,4,69,15,1
player_195,65.38,53,44.87,1,87,51,1
player_196,29.68,60,44.84,1,58,54,0
player_197,45.17,47,39.13,3,12,16,0
player_198,20.79,55,47.25,0,15,42,1
player_199,40.07,48,48.07,2,100,58,1
player_200,21.88,53,48.9,1,42,28,0
player_201,22.59,45,51.95,1,33,59,1
player_202,39.69,50,41.49,1,28,31,1
player_203,8.18,43,55.56,3,80,35,0
player_204,8.6,63,31.97,1,15,18,0
player_205,18.01,54,63.04,1,12,43,0
player_206,28.12,63,22.46,1,5,22,1
player_207,60.74,53,26.28,2,26,22,1
player_208,29.37,45,49.28,1,54,10,1
player_209,32.86,50,34.67,1,98,15,0
player_210,26.42,38,44.39,3,59,5,0
player_211,42.38,45,46.28,2,48,7,1
player_212,16.21,62,62.78,2,21,59,1
player_213,30.6,54,55.77,1,73,51,0
player_214,44.82,41,32.41,3,92,8,0
player_215,39.46,57,19.51,1,83,34,0
player_216,33.66,42,47.99,0,92,38,1
player_217,33.97,47,51.13,1,10,24,0
player_218,47.92,57,45.45,5,60,59,0
player_219,125.56,54,42.21,4,63,0,0
player_220,17.19,48,41.46,1,26,44,0
player_221,127.87,42,33.96,3,15,57,1
player_222,16.52,57,27.82,0,54,21,1
player_223,3.07,53,34.99,2,15,46,1
player_224,21.52,60,37.68,2,8,7,0
player_225,42.96,51,78.47,2,40,22,1
player_226,109.03,34,46.78,1,51,9,0
player_227,15.1,53,41.78,0,8,53,1
player_228,47.72,52,47.08,1,13,31,0
player_229,9.54,40,53.07,1,56,13,0
player_230,106.51,44,45.28,3,90,39,0
player_231,74.0,47,46.14,1,17,40,1
player_232,22.63,59,56.68,2,64,58,1
player_233,81.93,44,68.49,1,11,26,0
player_234,30.46,45,40.46,2,62,9,0
player_235,76.6,50,27.09,2,43,47,1
player_236,33.47,57,34.76,2,85,46,1
player_237,34.56,56,37.33,0,87,52,1
player_238,23.01,45,44.55,4,17,8,0
player_239,52.14,55,41.14,2,36,11,0
player_240,36.54,47,62.58,1,24,20,0
player_241,48.46,58,42.42,2,61,6,0
player_242,7.34,45,47.86,1,28,58,1
player_243,78.4,46,29.63,3,30,41,0
player_244,91.57,40,36.71,1,73,27,1
player_245,36.41,52,19.42,3,32,24,0
player_246,119.87,47,53.78,1,21,19,0
player_247,102.3,44,61.12,2,46,7,1
player_248,52.93,47,37.99,1,59,4,1
player_249,82.63,50,51.25,2,28,48,1
player_250,68.81,50,62.17,2,55,15,0
player_251,5.42,46,58.14,1,60,56,1
player_252,26.85,43,47.9,2,17,2,0
player_253,55.5,47,49.83,2,59,50,0
player_254,95.55,56,41.52,3,76,7,0
player_255,8.89,38,31.97,0,88,25,1
player_256,5.86,49,60.24,2,32,21,1
player_257,31.92,57,50.95,2,55,59,0
player_258,3.38,62,47.05,2,18,0,0
player_259,31.08,49,17.11,1,11,51,0
player_260,43.72,56,28.39,0,27,38,1
player_261,14.48,52,50.19,3,17,28,0
player_262,31.74,50,30.84,2,43,31,0
player_263,64.58,50,44.57,3,8,15,0
player_264,21.43,51,41.86,3,97,55,0
player_265,16.77,47,33.37,1,22,11,1
player_266,30.65,53,39.96,2,71,4,1
player_267,13.11,42,64.61,0,91,16,0
player_268,114.15,53,46.11,3,25,48,1
player_269,34.25,41,43.37,4,87,16,1
player_270,18.33,51,58.49,1,10,49,1
player_271,39.17,44,37.56,2,18,51,0
player_272,30.52,46,38.33,0,88,59,1
player_273,27.95,58,26.44,3,96,50,1
player_274,21.43,45,58.27,2,13,44,1
player_275,20.57,49,47.5,3,74,46,1
player_276,7.52,46,25.15,5,4,1,0
player_277,82.55,58,29.74,1,1,53,1
player_278,50.55,43,48.24,1,20,5,0
player_279,42.03,50,59.75,1,2,1,1
player_280,30.14,56,36.36,1,55,20,1
player_281,14.25,63,34.55,1,94,19,1
player_282,17.37,56,23.95,2,47,54,1
player_283,8.45,63,33.66,3,99,4,0
player_284,19.27,32,50.14,1,87,57,0
player_285,12.48,39,41.21,1,6,38,1
player_286,98.63,56,53.61,6,50,52,1
player_287,61.67,55,33.69,4,1,54,1
player_288,35.37,61,55.46,4,26,51,1
player_289,15.67,41,31.83,5,13,10,1
player_290,13.08,47,53.76,0,98,51,1
player_291,28.66,49,40.54,3,33,31,0
player_292,63.42,52,47.8,0,97,45,0
player_293,8.69,47,51.27,2,64,41,1
player_294,50.08,52,27.13,1,5,52,1
player_295,19.2,56,35.43,3,88,4,0
player_296,22.27,55,48.52,0,70,42,0
player_297,34.6,58,38.33,5,65,53,1
player_298,16.15,47,41.98,1,82,51,0
player_299,27.54,51,43.58,4,85,48,1
player_300,14.96,49,26.78,2,89,12,0
player_301,20.55,48,32.37,2,100,15,1
player_302,56.89,53,45.25,4,10,25,0
player_303,35.96,49,47.08,1,19,46,0
player_304,56.74,51,65.76,0,94,33,1
player_305,18.98,48,37.96,2,24,36,1
player_306,50.34,53,45.22,3,74,38,1
player_307,6.5,41,37.69,1,23,26,1
player_308,34.59,61,45.68,3,48,14,0
player_309,52.69,56,66.51,2,64,49,1
player_310,6.21,48,53.89,4,85,57,0
player_311,19.18,67,46.97,0,15,18,0
player_312,34.57,39,36.58,4,100,50,1
player_313,66.65,54,33.66,2,6,53,0
player_314,20.55,43,54.16,0,16,40,1
player_315,48.97,50,48.37,0,51,4,1
player_316,86.13,42,27.73,2,29,24,0
player_317,50.56,40,53.13,2,10,30,1
player_318,28.36,56,31.89,1,56,27,0
player_319,43.86,45,56.2,2,20,41,1
player_320,20.04,39,29.34,3,64,38,1
player_321,35.62,58,40.54,1,71,57,1
player_322,29.47,54,52.19,1,49,30,0
player_323,42.83,39,38.28,1,3,38,0
player_324,23.79,43,43.86,1,88,24,0
player_325,44.59,49,43.92,2,85,56,0
player_326,23.6,52,39.98,5,20,57,0
player_327,61.26,49,58.34,2,61,29,1
player_328,25.6,37,54.37,0,66,6,1
player_329,3.54,57,20.22,1,29,44,0
player_330,13.49,53,57.68,2,80,21,1
player_331,33.81,56,39.2,0,94,38,1
player_332,98.06,59,64.53,0,30,34,0
player_333,59.66,60,36.32,3,61,34,0
player_334,2.63,53,37.43,5,45,2,0
player_335,7.88,61,41.86,2,8,3,0
player_336,72.44,54,53.84,4,100,55,1
player_337,52.49,54,41.27,1,78,13,0
player_338,133.05,55,46.73,3,25,7,0
player_339,22.82,49,49.39,2,26,5,0
player_340,15.85,53,39.63,3,58,52,0
player_341,35.22,47,64.84,1,13,42,1
player_342,22.46,55,42.07,3,22,39,1
player_343,67.94,41,36.78,1,87,45,0
player_344,21.82,46,44.51,3,3,20,0
player_345,26.84,56,57.63,0,6,10,1
player_346,13.91,69,42.11,1,8,57,0
player_347,56.95,55,48.66,5,69,16,1
player_348,14.74,57,41.33,4,21,55,0
player_349,45.19,48,52.88,1,90,48,0
player_350,109.07,48,14.21,3,52,52,1
player_351,5.27,55,49.33,1,87,24,0
player_352,88.8,48,43.53,2,46,9,0
player_353,41.1,46,60.5,3,64,56,1
player_354,11.9,55,46.87,3,18,49,1
player_355,36.24,56,39.84,4,27,49,1
player_356,55.8,44,51.92,2,39,17,0
player_357,16.81,56,45.84,0,82,54,1
player_358,47.05,51,43.93,3,55,16,0
player_359,93.71,50,55.59,3,75,11,1
player_360,21.8,56,50.4,4,38,57,0
player_361,13.75,57,45.43,1,86,57,0
player_362,30.19,32,63.2,2,43,44,1
player_363,34.79,50,33.83,0,45,52,0
player_364,70.32,42,46.36,4,32,46,1
player_365,29.42,61,54.82,2,39,19,0
player_366,23.48,47,18.65,1,76,39,0
player_367,13.44,55,19.98,4,9,3,1
player_368,6.26,57,32.97,0,1,54,0
player_369,9.89,52,59.52,0,48,44,1
player_370,9.83,53,57.01,3,30,14,0
player_371,27.07,54,55.37,4,29,3,1
player_372,7.64,59,52.84,4,42,56,1
player_373,31.95,51,47.69,4,100,39,1
player_374,107.49,56,57.06,1,67,36,0
player_375,71.7,48,43.0,2,4,14,1
player_376,26.86,41,38.68,5,45,7,1
player_377,153.7,56,63.66,5,73,34,0
player_378,34.89,48,43.77,0,28,19,0
player_379,38.71,48,50.91,4,22,33,0
player_380,29.74,39,60.07,1,71,57,1
player_381,32.49,63,41.61,2,90,30,0
player_382,21.18,48,52.33,1,95,31,0
player_383,27.17,51,40.27,1,80,31,0
player_384,89.2,58,46.88,1,53,28,1
player_385,76.97,47,61.04,2,93,6,0
player_386,3.34,53,47.72,3,25,25,1
player_387,8.6,40,47.64,1,96,19,1
player_388,17.01,46,39.63,1,98,1,0
player_389,63.8,56,57.9,2,71,20,0
player_390,78.12,38,61.72,3,70,12,0
player_391,55.65,47,49.06,0,41,44,1
player_392,11.85,50,39.73,1,67,7,1
player_393,21.54,54,34.39,2,55,36,0
player_394,47.63,62,37.96,3,72,3,0
player_395,27.51,55,35.43,4,58,0,1
player_396,24.56,62,51.97,1,46,23,0
player_397,24.85,45,24.92,3,38,11,0
player_398,73.12,44,44.86,3,26,10,1
player_399,51.11,49,41.25,1,61,32,0
player_400,25.96,43,56.81,3,90,26,1
player_401,42.48,59,50.02,0,83,59,0
player_402,10.34,69,36.46,4,15,57,1
player_403,21.58,49,42.96,2,76,6,1
player_404,68.42,57,53.36,2,2,23,1
player_405,7.13,49,44.85,0,90,29,0
player_406,51.56,40,20.92,1,53,56,1
player_407,3.3,51,43.89,1,95,56,1
player_408,99.12,50,26.4,4,41,19,0
player_409,21.15,42,42.96,1,51,47,1
player_410,44.74,67,58.83,4,59,9,0
player_411,36.37,54,47.11,2,68,7,1
player_412,37.37,51,45.69,2,69,29,0
player_413,41.93,58,35.92,2,66,39,0
player_414,5.8,50,44.09,3,95,20,0
player_415,37.94,65,39.6,2,95,6,0
player_416,28.8,55,52.52,1,80,11,0
player_417,21.25,63,42.19,2,44,11,1
player_418,17.01,49,48.79,1,10,45,0
player_419,38.65,43,43.84,1,25,22,1
player_420,13.92,54,45.77,2,53,44,1
player_421,67.59,41,41.44,0,63,20,0
player_422,47.09,67,41.17,2,40,49,1
player_423,40.39,44,44.8,4,35,46,0
player_424,65.69,41,39.01,1,5,54,1
player_425,4.81,54,59.25,2,72,55,1
player_426,10.01,49,27.61,2,93,56,0
player_427,48.57,53,53.37,0,77,3,0
player_428,17.89,39,61.56,2,5,26,0
player_429,19.91,69,40.8,0,78,31,0
player_430,8.61,45,42.77,1,86,52,1
player_431,13.95,45,35.93,5,100,24,0
player_432,68.61,43,56.02,1,14,33,0
player_433,47.76,44,53.13,2,44,7,1
player_434,38.34,39,34.2,1,24,15,0
player_435,20.57,59,31.03,3,83,29,0
player_436,36.58,53,42.25,5,48,9,0
player_437,72.68,44,51.88,4,47,48,0
player_438,18.27,41,50.99,3,58,26,0
player_439,32.44,52,44.78,1,93,4,1
player_440,103.15,53,48.32,6,9,0,0
player_441,55.15,45,45.2,2,63,41,1
player_442,20.82,57,39.51,3,89,51,0
player_443,52.1,47,46.19,1,57,7,0
player_444,7.01,51,36.55,2,72,44,1
player_445,31.45,63,55.79,2,36,20,0
player_446,52.06,62,40.09,3,13,17,1
player_447,44.15,43,40.46,2,73,25,0
player_448,51.71,59,26.6,1,19,7,1
player_449,59.83,49,40.13,3,28,35,0
player_450,46.65,50,45.77,2,9,4,0
player_451,45.7,40,28.88,1,80,57,0
player_452,38.99,46,56.27,3,20,50,1
player_453,12.49,56,34.37,2,97,33,0
player_454,68.59,53,45.83,2,31,11,0
player_455,32.32,55,53.93,1,22,15,1
player_456,54.21,57,27.07,5,1,58,0
player_457,63.9,51,33.28,0,16,10,1
player_458,21.71,60,47.45,2,45,11,1
player_459,23.33,45,50.88,2,97,56,1
player_460,25.97,68,19.26,2,89,55,0
player_461,77.41,53,46.79,4,87,31,0
player_462,15.16,43,37.47,1,22,18,1
player_463,86.39,33,45.91,3,100,15,1
player_464,38.67,50,44.42,1,86,13,1
player_465,40.71,48,53.59,1,13,43,1
player_466,61.98,37,38.08,2,67,33,1
player_467,35.5,60,62.37,4,43,43,0
player_468,69.11,38,52.7,4,60,48,0
player_469,21.68,60,40.85,0,1,23,0
player_470,84.57,58,36.83,0,8,47,0
player_471,23.1,52,52.52,1,34,51,0
player_472,86.7,51,45.4,2,72,25,1
player_473,23.62,46,54.15,1,93,6,0
player_474,26.57,51,48.1,1,55,0,0
player_475,13.55,40,20.95,2,3,5,1
player_476,17.18,42,41.11,2,47,36,1
player_477,32.45,38,45.52,2,67,8,0
player_478,39.75,39,27.13,5,62,27,1
player_479,65.75,53,54.69,0,27,30,1
player_480,28.11,51,41.11,4,31,17,1
player_481,44.21,43,31.6,0,18,15,1
player_482,37.82,30,38.63,3,58,34,1
player_483,47.73,43,40.61,0,16,47,1
player_484,19.43,39,48.22,2,30,25,1
player_485,21.42,39,54.33,3,12,15,0
player_486,19.44,57,28.7,4,6,18,1
player_487,74.42,52,50.22,1,29,38,0
player_488,85.11,52,33.38,3,53,34,0
player_489,20.66,48,47.53,3,94,53,1
player_490,21.01,60,29.38,3,25,39,0
player_491,52.49,55,54.55,0,49,29,0
player_492,91.38,49,51.88,3,100,57,1
player_493,104.53,52,51.11,2,25,24,0
player_494,19.88,47,51.69,2,86,17,0
player_495,24.29,40,41.7,3,91,31,0
player_496,41.27,50,47.27,4,84,20,1
player_497,42.74,61,42.12,2,12,15,1
player_498,28.97,40,63.94,2,84,57,0
player_499,16.68,50,63.18,1,43,2,1
player_500,32.49,40,37.59,3,96,40,0
player_501,104.45,51,67.64,3,93,4,0
player_502,21.68,49,55.64,1,76,2,0
player_503,39.45,42,63.98,3,57,26,1
player_504,150.41,61,31.6,3,83,30,0
player_505,21.42,50,32.76,2,14,50,1
player_506,54.22,44,58.0,0,49,21,1
player_507,107.36,55,28.42,4,15,24,1
player_508,51.03,53,42.43,1,60,4,1
player_509,70.94,36,52.51,1,36,56,0
player_510,59.32,54,53.6,3,100,54,0
player_511,48.22,61,50.96,1,37,35,0
player_512,83.27,46,54.14,4,28,43,1
player_513,53.05,42,31.31,4,3,24,0
player_514,29.2,47,39.26,1,100,29,1
player_515,37.27,34,54.45,3,71,51,1
player_516,43.79,49,45.75,1,68,24,1
player_517,24.17,56,36.09,1,75,14,1
player_518,38.51,42,54.09,1,78,59,0
player_519,34.55,57,39.34,3,88,0,1
player_520,52.93,44,43.71,1,37,7,0
player_521,126.19,41,44.9,0,88,30,1
player_522,40.2,52,44.32,1,90,25,1
player_523,92.9,41,51.73,3,58,56,1
player_524,51.62,51,49.25,4,16,33,0
player_525,38.39,53,32.26,3,57,49,1
player_526,23.08,47,42.27,4,45,57,1
player_527,38.6,62,41.23,1,6,48,1
player_528,36.89,39,28.52,1,36,43,0
player_529,18.33,47,50.95,2,26,23,1
player_530,20.88,53,65.77,1,40,40,0
player_531,44.05,51,59.67,1,10,43,0
player_532,92.3,60,52.8,1,19,42,1
player_533,31.66,58,27.14,2,48,8,0
player_534,8.18,50,43.01,4,81,39,1
player_535,13.31,45,58.58,3,89,48,1
player_536,55.17,51,58.91,0,22,22,0
player_537,10.0,42,48.65,2,15,15,0
player_538,61.32,60,40.71,1,67,23,0
player_539,53.1,56,41.95,1,40,47,1
player_540,30.84,46,46.84,2,67,20,0
player_541,18.47,38,21.99,1,89,7,0
player_542,27.48,42,36.9,2,38,55,1
player_543,43.27,43,23.57,3,44,34,0
player_544,10.34,67,24.22,0,71,50,0
player_545,86.23,50,27.19,3,45,25,0
player_546,42.99,39,46.92,0,30,28,0
player_547,46.57,53,35.67,4,84,5,0
player_548,52.83,59,44.29,2,88,43,1
player_549,80.78,46,45.94,2,56,16,1
player_550,38.67,56,30.81,2,93,54,1
player_551,55.2,41,30.34,2,56,4,0
player_552,18.74,44,33.89,5,91,19,0
player_553,104.81,55,44.55,2,33,47,1
player_554,36.75,45,56.58,2,81,24,0
player_555,18.66,35,16.19,1,95,25,1
player_556,23.09,45,56.84,2,55,58,0
player_557,4.48,52,54.03,2,39,43,1
player_558,22.97,56,33.61,0,97,38,0
player_559,1.75,45,42.88,0,71,18,1
player_560,58.02,57,45.73,1,47,23,0
player_561,45.57,58,44.3,4,31,56,0
player_562,14.08,50,42.41,2,90,36,0
player_563,32.12,48,53.4,2,67,16,1
player_564,33.24,46,34.6,2,65,58,1
player_565,11.48,56,51.58,2,81,36,0
player_566,27.95,66,44.06,4,75,58,1
player_567,34.03,42,35.09,1,30,24,1
player_568,27.35,49,38.88,0,12,19,1
player_569,18.64,47,17.57,1,8,55,0
player_570,13.58,57,56.9,1,32,20,0
player_571,26.59,51,38.1,2,78,7,0
player_572,20.65,43,37.92,3,62,21,1
player_573,50.41,39,33.78,1,96,11,1
player_574,84.09,53,56.83,6,97,53,1
player_575,63.36,55,37.25,7,77,43,0
player_576,34.9,54,45.87,1,58,14,0
player_577,19.26,42,23.86,2,81,11,1
player_578,62.2,47,65.83,1,55,40,1
player_579,52.57,41,36.12,1,42,2,1
player_580,80.23,52,25.99,2,17,49,0
player_581,38.7,58,49.39,5,64,18,0
player_582,101.25,47,40.59,1,35,13,0
player_583,38.71,51,47.18,2,90,51,0
player_584,19.18,45,58.72,0,88,4,1
player_585,22.34,49,35.12,1,67,51,0
player_586,48.74,51,39.99,2,55,52,1
player_587,20.61,50,41.26,1,11,45,1
player_588,100.79,50,32.85,1,96,31,0
player_589,45.92,47,48.55,5,70,57,0
player_590,34.32,63,31.95,1,53,20,1
player_591,36.53,40,49.62,4,21,14,0
player_592,27.12,52,47.53,1,52,53,1
player_593,6.15,49,38.17,2,16,24,0
player_594,22.35,52,36.03,0,94,36,0
player_595,92.73,48,35.76,1,71,7,0
player_596,39.47,45,52.08,0,60,30,1
player_597,68.34,52,58.89,2,62,28,0
player_598,69.66,57,38.63,2,77,55,0
player_599,32.35,58,34.87,2,55,2,1
player_600,53.17,50,41.44,0,30,18,0
player_601,6.95,49,41.31,2,84,0,0
player_602,87.84,58,42.97,0,63,26,0
player_603,83.17,34,41.9,3,16,52,0
player_604,47.79,49,46.19,1,63,14,1
player_605,40.53,57,50.98,2,79,22,0
player_606,32.68,53,45.98,2,32,55,1
player_607,73.71,59,54.9,2,87,35,0
player_608,57.49,48,56.17,1,45,21,1
player_609,24.82,57,38.62,1,18,36,1
player_610,11.98,42,41.71,1,33,6,0
player_611,9.83,52,46.75,1,56,23,0
player_612,73.19,56,56.42,3,85,1,0
player_613,32.14,47,41.05,1,87,43,0
player_614,47.23,41,63.58,0,21,52,1
player_615,35.36,48,37.73,2,7,28,0
player_616,9.97,64,36.57,2,52,26,1
player_617,7.13,56,29.33,3,27,43,0
player_618,23.46,59,47.06,2,20,21,0
player_619,25.12,43,37.89,1,8,35,0
player_620,25.1,50,43.31,0,13,37,0
player_621,25.7,45,40.52,2,7,56,1
player_622,120.85,35,44.84,3,37,55,1
player_623,67.64,53,51.13,1,91,27,0
player_624,39.89,46,43.79,1,43,30,0
player_625,31.52,62,42.19,3,27,40,1
player_626,32.38,55,36.53,4,4,7,0
player_627,56.05,42,62.24,5,69,18,0
player_628,31.29,46,49.3,1,39,9,0
player_629,63.03,53,29.01,2,33,5,1
player_630,43.1,40,35.5,4,91,21,0
player_631,121.56,45,54.95,2,47,52,0
