player_id,approx_ltv,ltv_segment
player_92,226.4,Very High
player_93,133.77,Very High
player_94,111.72,High
player_95,46.71,Medium
player_96,56.38,Medium
player_97,133.44,Very High
player_98,0.0,Low
player_99,0.0,Low
player_100,35.73,Low
player_101,0.0,Low
player_102,41.89,Low
player_103,103.94999999999999,High
player_104,44.58,Medium
player_105,192.48,Very High
player_106,51.89,Medium
player_107,92.52,High
player_108,64.62,Medium
player_109,170.94,Very High
player_110,0.0,Low
player_111,33.32,Low
player_112,99.6,High
player_113,265.2,Very High
player_114,69.74,Medium
player_115,66.12,Medium
player_116,0.0,Low
player_117,36.86,Low
player_118,27.38,Low
player_119,95.98,High
player_120,35.74,Low
player_121,168.48,Very High
player_122,28.06,Low
player_123,140.37,Very High
player_124,76.58,Medium
player_125,47.43,Medium
player_126,0.0,Low
player_127,185.34,Very High
player_128,54.37,Medium
player_129,92.68,High
player_130,92.74,High
player_131,0.0,Low
player_132,47.04,Medium
player_133,39.59,Low
player_134,204.56,Very High
player_135,0.0,Low
player_136,55.79,Medium
player_137,0.0,Low
player_138,0.0,Low
player_139,0.0,Low
player_140,87.58,High
player_141,43.41,Medium
player_142,43.81,Medium
player_143,100.88,High
player_144,115.46,High
player_145,123.30000000000001,High
player_146,158.22,Very High
player_147,78.8,Medium
player_148,45.75,Medium
player_149,0.0,Low
player_150,98.14,High
player_151,133.77,Very High
player_152,0.0,Low
player_153,73.96,Medium
player_154,103.52,High
player_155,37.51,Low
player_156,68.34,Medium
player_157,50.96,Medium
player_158,105.0,High
player_159,35.81,Low
player_160,0.0,Low
player_161,94.46,High
player_162,423.28,Very High
player_163,39.99,Low
player_164,82.34,High
player_165,36.72,Low
player_166,118.38,High
player_167,88.92,High
player_168,0.0,Low
player_169,42.01,Low
player_170,83.54,High
player_171,0.0,Low
player_172,89.62,High
player_173,0.0,Low
player_174,212.76,Very High
player_175,119.60999999999999,High
player_176,146.0,Very High
player_177,149.04,Very High
player_178,0.0,Low
player_179,0.0,Low
player_180,88.58,High
player_181,175.17000000000002,Very High
player_182,60.14,Medium
player_183,103.38,High
player_184,124.80000000000001,High
player_185,141.06,Very High
player_186,88.2,High
player_187,156.54,Very High
player_188,0.0,Low
player_189,161.57999999999998,Very High
player_190,58.58,Medium
player_191,0.0,Low
player_192,135.87,Very High
player_193,181.84,Very High
player_194,235.44,Very High
player_195,44.87,Medium
player_196,44.84,Medium
player_197,117.39000000000001,High
player_198,0.0,Low
player_199,96.14,High
player_200,48.9,Medium
player_201,51.95,Medium
player_202,41.49,Low
player_203,166.68,Very High
player_204,31.97,Low
player_205,63.04,Medium
player_206,22.46,Low
player_207,52.56,Medium
player_208,49.28,Medium
player_209,34.67,Low
player_210,133.17000000000002,Very High
player_211,92.56,High
player_212,125.56,High
player_213,55.77,Medium
player_214,97.22999999999999,High
player_215,19.51,Low
player_216,0.0,Low
player_217,51.13,Medium
player_218,227.25,Very High
player_219,168.84,Very High
player_220,41.46,Low
player_221,101.88,High
player_222,0.0,Low
player_223,69.98,Medium
player_224,75.36,Medium
player_225,156.94,Very High
player_226,46.78,Medium
player_227,0.0,Low
player_228,47.08,Medium
player_229,53.07,Medium
player_230,135.84,Very High
player_231,46.14,Medium
player_232,113.36,High
player_233,68.49,Medium
player_234,80.92,High
player_235,54.18,Medium
player_236,69.52,Medium
player_237,0.0,Low
player_238,178.2,Very High
player_239,82.28,High
player_240,62.58,Medium
player_241,84.84,High
player_242,47.86,Medium
player_243,88.89,High
player_244,36.71,Low
player_245,58.260000000000005,Medium
player_246,53.78,Medium
player_247,122.24,High
player_248,37.99,Low
player_249,102.5,High
player_250,124.34,High
player_251,58.14,Medium
player_252,95.8,High
player_253,99.66,High
player_254,124.56,High
player_255,0.0,Low
player_256,120.48,High
player_257,101.9,High
player_258,94.1,High
player_259,17.11,Low
player_260,0.0,Low
player_261,150.57,Very High
player_262,61.68,Medium
player_263,133.71,Very High
player_264,125.58,High
player_265,33.37,Low
player_266,79.92,Medium
player_267,0.0,Low
player_268,138.32999999999998,Very High
player_269,173.48,Very High
player_270,58.49,Medium
player_271,75.12,Medium
player_272,0.0,Low
player_273,79.32000000000001,Medium
player_274,116.54,High
player_275,142.5,Very High
player_276,125.75,High
player_277,29.74,Low
player_278,48.24,Medium
player_279,59.75,Medium
player_280,36.36,Low
player_281,34.55,Low
player_282,47.9,Medium
player_283,100.97999999999999,High
player_284,50.14,Medium
player_285,41.21,Low
player_286,321.65999999999997,Very High
player_287,134.76,Very High
player_288,221.84,Very High
player_289,159.14999999999998,Very High
player_290,0.0,Low
player_291,121.62,High
player_292,0.0,Low
player_293,102.54,High
player_294,27.13,Low
player_295,106.28999999999999,High
player_296,0.0,Low
player_297,191.64999999999998,Very High
player_298,41.98,Low
player_299,174.32,Very High
player_300,53.56,Medium
player_301,64.74,Medium
player_302,181.0,Very High
player_303,47.08,Medium
player_304,0.0,Low
player_305,75.92,Medium
player_306,135.66,Very High
player_307,37.69,Low
player_308,137.04,Very High
player_309,133.02,Very High
player_310,215.56,Very High
player_311,0.0,Low
player_312,146.32,Very High
player_313,67.32,Medium
player_314,0.0,Low
player_315,0.0,Low
player_316,55.46,Medium
player_317,106.26,High
player_318,31.89,Low
player_319,112.4,High
player_320,88.02,High
player_321,40.54,Low
player_322,52.19,Medium
player_323,38.28,Low
player_324,43.86,Medium
player_325,87.84,High
player_326,199.89999999999998,Very High
player_327,116.68,High
player_328,0.0,Low
player_329,20.22,Low
player_330,115.36,High
player_331,0.0,Low
player_332,0.0,Low
player_333,108.96000000000001,High
player_334,187.15,Very High
player_335,83.72,High
player_336,215.36,Very High
player_337,41.27,Low
player_338,140.19,Very High
player_339,98.78,High
player_340,118.89000000000001,High
player_341,64.84,Medium
player_342,126.21000000000001,High
player_343,36.78,Low
player_344,133.53,Very High
player_345,0.0,Low
player_346,42.11,Low
player_347,243.29999999999998,Very High
player_348,165.32,Very High
player_349,52.88,Medium
player_350,42.63,Low
player_351,49.33,Medium
player_352,87.06,High
player_353,181.5,Very High
player_354,140.60999999999999,Very High
player_355,159.36,Very High
player_356,103.84,High
player_357,0.0,Low
player_358,131.79,Very High
player_359,166.77,Very High
player_360,201.6,Very High
player_361,45.43,Medium
player_362,126.4,High
player_363,0.0,Low
player_364,185.44,Very High
player_365,109.64,High
player_366,18.65,Low
player_367,79.92,Medium
player_368,0.0,Low
player_369,0.0,Low
player_370,171.03,Very High
player_371,221.48,Very High
player_372,211.36,Very High
player_373,190.76,Very High
player_374,57.06,Medium
player_375,86.0,High
player_376,193.4,Very High
player_377,318.29999999999995,Very High
player_378,0.0,Low
player_379,203.64,Very High
player_380,60.07,Medium
player_381,83.22,High
player_382,52.33,Medium
player_383,40.27,Low
player_384,46.88,Medium
player_385,122.08,High
player_386,143.16,Very High
player_387,47.64,Medium
player_388,39.63,Low
player_389,115.8,High
player_390,185.16,Very High
player_391,0.0,Low
player_392,39.73,Low
player_393,68.78,Medium
player_394,113.88,High
player_395,141.72,Very High
player_396,51.97,Medium
player_397,74.76,Medium
player_398,134.57999999999998,Very High
player_399,41.25,Low
player_400,170.43,Very High
player_401,0.0,Low
player_402,145.84,Very High
player_403,85.92,High
player_404,106.72,High
player_405,0.0,Low
player_406,20.92,Low
player_407,43.89,Medium
player_408,105.6,High
player_409,42.96,Medium
player_410,235.32,Very High
player_411,94.22,High
player_412,91.38,High
player_413,71.84,Medium
player_414,132.27,Very High
player_415,79.2,Medium
player_416,52.52,Medium
player_417,84.38,High
player_418,48.79,Medium
player_419,43.84,Medium
player_420,91.54,High
player_421,0.0,Low
player_422,82.34,High
player_423,179.2,Very High
player_424,39.01,Low
player_425,118.5,High
player_426,55.22,Medium
player_427,0.0,Low
player_428,123.12,High
player_429,0.0,Low
player_430,42.77,Low
player_431,179.65,Very High
player_432,56.02,Medium
player_433,106.26,High
player_434,34.2,Low
player_435,93.09,High
player_436,211.25,Very High
player_437,207.52,Very High
player_438,152.97,Very High
player_439,44.78,Medium
player_440,289.92,Very High
player_441,90.4,High
player_442,118.53,High
player_443,46.19,Medium
player_444,73.1,Medium
player_445,111.58,High
player_446,120.27000000000001,High
player_447,80.92,High
player_448,26.6,Low
player_449,120.39000000000001,High
player_450,91.54,High
player_451,28.88,Low
player_452,168.81,Very High
player_453,68.74,Medium
player_454,91.66,High
player_455,53.93,Medium
player_456,135.35,Very High
player_457,0.0,Low
player_458,94.9,High
player_459,101.76,High
player_460,38.52,Low
player_461,187.16,Very High
player_462,37.47,Low
player_463,137.73,Very High
player_464,44.42,Medium
player_465,53.59,Medium
player_466,76.16,Medium
player_467,249.48,Very High
player_468,210.8,Very High
player_469,0.0,Low
player_470,0.0,Low
player_471,52.52,Medium
player_472,90.8,High
player_473,54.15,Medium
player_474,48.1,Medium
player_475,41.9,Low
player_476,82.22,High
player_477,91.04,High
player_478,135.65,Very High
player_479,0.0,Low
player_480,164.44,Very High
player_481,0.0,Low
player_482,115.89000000000001,High
player_483,0.0,Low
player_484,96.44,High
player_485,162.99,Very High
player_486,114.8,High
player_487,50.22,Medium
player_488,100.14000000000001,High
player_489,142.59,Very High
player_490,88.14,High
player_491,0.0,Low
player_492,155.64000000000001,Very High
player_493,102.22,High
player_494,103.38,High
player_495,125.10000000000001,High
player_496,189.08,Very High
player_497,84.24,High
player_498,127.88,Very High
player_499,63.18,Medium
player_500,112.77000000000001,High
player_501,202.92000000000002,Very High
player_502,55.64,Medium
player_503,191.94,Very High
player_504,94.80000000000001,High
player_505,65.52,Medium
player_506,0.0,Low
player_507,113.68,High
player_508,42.43,Low
player_509,52.51,Medium
player_510,160.8,Very High
player_511,50.96,Medium
player_512,216.56,Very High
player_513,125.24,High
player_514,39.26,Low
player_515,163.35000000000002,Very High
player_516,45.75,Medium
player_517,36.09,Low
player_518,54.09,Medium
player_519,118.02000000000001,High
player_520,43.71,Medium
player_521,0.0,Low
player_522,44.32,Medium
player_523,155.19,Very High
player_524,197.0,Very High
player_525,96.78,High
player_526,169.08,Very High
player_527,41.23,Low
player_528,28.52,Low
player_529,101.9,High
player_530,65.77,Medium
player_531,59.67,Medium
player_532,52.8,Medium
player_533,54.28,Medium
player_534,172.04,Very High
player_535,175.74,Very High
player_536,0.0,Low
player_537,97.3,High
player_538,40.71,Low
player_539,41.95,Low
player_540,93.68,High
player_541,21.99,Low
player_542,73.8,Medium
player_543,70.71000000000001,Medium
player_544,0.0,Low
player_545,81.57000000000001,High
player_546,0.0,Low
player_547,142.68,Very High
player_548,88.58,High
player_549,91.88,High
player_550,61.62,Medium
player_551,60.68,Medium
player_552,169.45,Very High
player_553,89.1,High
player_554,113.16,High
player_555,16.19,Low
player_556,113.68,High
player_557,108.06,High
player_558,0.0,Low
player_559,0.0,Low
player_560,45.73,Medium
player_561,177.2,Very High
player_562,84.82,High
player_563,106.8,High
player_564,69.2,Medium
player_565,103.16,High
player_566,176.24,Very High
player_567,35.09,Low
player_568,0.0,Low
player_569,17.57,Low
player_570,56.9,Medium
player_571,76.2,Medium
player_572,113.76,High
player_573,33.78,Low
player_574,340.98,Very High
player_575,260.75,Very High
player_576,45.87,Medium
player_577,47.72,Medium
player_578,65.83,Medium
player_579,36.12,Low
player_580,51.98,Medium
player_581,246.95,Very High
player_582,40.59,Low
player_583,94.36,High
player_584,0.0,Low
player_585,35.12,Low
player_586,79.98,Medium
player_587,41.26,Low
player_588,32.85,Low
player_589,242.75,Very High
player_590,31.95,Low
player_591,198.48,Very High
player_592,47.53,Medium
player_593,76.34,Medium
player_594,0.0,Low
player_595,35.76,Low
player_596,0.0,Low
player_597,117.78,High
player_598,77.26,Medium
player_599,69.74,Medium
player_600,0.0,Low
player_601,82.62,High
player_602,0.0,Low
player_603,125.69999999999999,High
player_604,46.19,Medium
player_605,101.96,High
player_606,91.96,High
player_607,109.8,High
player_608,56.17,Medium
player_609,38.62,Low
player_610,41.71,Low
player_611,46.75,Medium
player_612,169.26,Very High
player_613,41.05,Low
player_614,0.0,Low
player_615,75.46,Medium
player_616,73.14,Medium
player_617,87.99,High
player_618,94.12,High
player_619,37.89,Low
player_620,0.0,Low
player_621,81.04,High
player_622,134.52,Very High
player_623,51.13,Medium
player_624,43.79,Medium
player_625,126.57,High
player_626,146.12,Very High
player_627,311.2,Very High
player_628,49.3,Medium
player_629,58.02,Medium
player_630,142.0,Very High
player_631,109.9,High
player_632,76.6,Medium
player_633,43.74,Medium
player_634,89.38,High
player_635,0.0,Low
player_636,99.44,High
player_637,125.85000000000001,High
player_638,91.66,High
player_639,36.35,Low
player_640,136.92000000000002,Very High
player_641,71.74,Medium
player_642,112.71000000000001,High
player_643,89.7,High
player_644,0.0,Low
player_645,49.95,Medium
player_646,50.42,Medium
player_647,34.89,Low
player_648,78.74,Medium
player_649,90.24,High
player_650,127.98,Very High
player_651,225.29999999999998,Very High
player_652,116.43,High
player_653,101.25,High
player_654,66.26,Medium
player_655,0.0,Low
player_656,113.84,High
player_657,104.64,High
player_658,48.48,Medium
player_659,0.0,Low
player_660,217.88,Very High
player_661,65.74,Medium
player_662,55.23,Medium
player_663,181.8,Very High
player_664,0.0,Low
player_665,48.0,Medium
player_666,105.9,High
player_667,100.06,High
player_668,105.16,High
player_669,94.36,High
player_670,196.84,Very High
player_671,154.77,Very High
player_672,130.07999999999998,Very High
player_673,0.0,Low
player_674,96.6,High
player_675,99.84,High
player_676,88.1,High
player_677,42.4,Low
player_678,28.16,Low
player_679,30.93,Low
player_680,58.91,Medium
player_681,40.73,Low
player_682,0.0,Low
player_683,169.8,Very High
player_684,0.0,Low
player_685,168.69,Very High
player_686,101.82,High
player_687,121.59,High
player_688,177.39000000000001,Very High
player_689,72.98,Medium
player_690,97.44,High
player_691,121.88,High
player_692,53.89,Medium
player_693,127.05000000000001,High
player_694,39.71,Low
player_695,171.03,Very High
player_696,184.92000000000002,Very High
player_697,36.94,Low
player_698,48.61,Medium
player_699,158.67000000000002,Very High
player_700,45.28,Medium
player_701,46.78,Medium
player_702,0.0,Low
player_703,38.77,Low
player_704,0.0,Low
player_705,85.14,High
player_706,0.0,Low
player_707,0.0,Low
player_708,112.84,High
player_709,0.0,Low
player_710,93.42,High
player_711,177.51,Very High
player_712,0.0,Low
player_713,82.4,High
player_714,233.44,Very High
player_715,44.98,Medium
player_716,97.44,High
player_717,102.68,High
player_718,0.0,Low
player_719,109.12,High
player_720,100.74,High
player_721,157.10999999999999,Very High
player_722,39.8,Low
player_723,218.08,Very High
player_724,133.5,Very High
player_725,73.28,Medium
player_726,38.42,Low
player_727,109.42,High
player_728,46.09,Medium
player_729,74.36,Medium
player_730,71.3,Medium
player_731,298.08,Very High
player_732,0.0,Low
player_733,104.28,High
player_734,152.64000000000001,Very High
player_735,0.0,Low
player_736,93.46,High
player_737,64.32,Medium
player_738,43.16,Medium
player_739,84.5,High
player_740,113.64000000000001,High
player_741,47.32,Medium
player_742,0.0,Low
player_743,0.0,Low
player_744,71.7,Medium
player_745,149.82,Very High
player_746,0.0,Low
player_747,51.87,Medium
player_748,115.12,High
player_749,29.99,Low
player_750,98.22,High
player_751,88.38,High
player_752,49.25,Medium
player_753,70.72,Medium
player_754,162.64,Very High
player_755,104.38,High
player_756,0.0,Low
player_757,43.66,Medium
player_758,182.32,Very High
player_759,238.5,Very High
player_760,0.0,Low
player_761,137.57999999999998,Very High
player_762,129.18,Very High
player_763,247.28,Very High
player_764,194.44,Very High
player_765,0.0,Low
player_766,41.8,Low
player_767,80.19,Medium
player_768,82.65,High
player_769,0.0,Low
player_770,96.68,High
player_771,0.0,Low
player_772,34.55,Low
player_773,50.23,Medium
player_774,123.92,High
player_775,290.1,Very High
player_776,155.34,Very High
player_777,0.0,Low
player_778,194.20000000000002,Very High
player_779,160.2,Very High
player_780,203.44,Very High
player_781,101.92,High
player_782,0.0,Low
player_783,123.87,High
player_784,120.53999999999999,High
player_785,0.0,Low
player_786,0.0,Low
player_787,58.06,Medium
player_788,133.62,Very High
player_789,0.0,Low
player_790,41.44,Low
player_791,277.38,Very High
player_792,0.0,Low
player_793,270.79999999999995,Very High
player_794,392.2,Very High
player_795,93.8,High
player_796,53.18,Medium
player_797,110.85000000000001,High
player_798,60.59,Medium
player_799,63.7,Medium
player_800,98.26,High
player_801,56.97,Medium
player_802,50.05,Medium
player_803,80.42999999999999,High
player_804,79.36,Medium
player_805,275.05,Very High
player_806,70.96,Medium
player_807,98.14,High
player_808,71.02,Medium
player_809,104.08,High
player_810,92.82,High
player_811,97.24,High
player_812,113.94,High
player_813,35.59,Low
player_814,44.14,Medium
player_815,76.0,Medium
player_816,81.42,High
player_817,99.48,High
player_818,105.8,High
player_819,184.35000000000002,Very High
player_820,188.70000000000002,Very High
player_821,40.6,Low
player_822,150.48,Very High
player_823,124.71000000000001,High
player_824,0.0,Low
player_825,150.68,Very High
player_826,189.7,Very High
player_827,83.42,High
player_828,116.85000000000001,High
player_829,94.82,High
player_830,113.58,High
player_831,21.5,Low
player_832,112.28,High
player_833,0.0,Low
player_834,178.23,Very High
player_835,96.24,High
player_836,102.22,High
player_837,131.56,Very High
player_838,57.55,Medium
player_839,33.56,Low
player_840,43.11,Medium
player_841,64.42,Medium
player_842,103.0,High
player_843,78.08,Medium
player_844,216.20000000000002,Very High
player_845,50.79,Medium
player_846,112.42,High
player_847,135.92,Very High
player_848,52.98,Medium
player_849,43.6,Medium
player_850,0.0,Low
player_851,157.92000000000002,Very High
player_852,75.94,Medium
player_853,34.03,Low
player_854,45.95,Medium
player_855,47.02,Medium
player_856,173.68,Very High
player_857,32.3,Low
player_858,61.8,Medium
player_859,160.62,Very High
player_860,102.2,High
player_861,35.56,Low
player_862,160.0,Very High
player_863,61.22,Medium
player_864,124.19999999999999,High
player_865,32.08,Low
player_866,76.22,Medium
player_867,138.28,Very High
player_868,214.46999999999997,Very High
player_869,179.48,Very High
player_870,80.64,High
player_871,0.0,Low
player_872,169.88,Very High
player_873,0.0,Low
player_874,95.92,High
player_875,0.0,Low
player_876,58.86,Medium
player_877,76.78,Medium
player_878,125.85000000000001,High
player_879,145.29,Very High
player_880,125.04,High
player_881,249.32,Very High
player_882,90.22,High
player_883,43.47,Medium
player_884,51.57,Medium
player_885,47.92,Medium
player_886,100.24,High
player_887,0.0,Low
player_888,43.5,Medium
player_889,94.28,High
player_890,179.44,Very High
player_891,134.04,Very High
player_892,49.89,Medium
player_893,0.0,Low
player_894,51.17,Medium
player_895,78.48,Medium
player_896,28.57,Low
player_897,52.0,Medium
player_898,201.88,Very High
player_899,55.3,Medium
player_900,0.0,Low
player_901,65.22,Medium
player_902,58.26,Medium
player_903,78.04,Medium
player_904,0.0,Low
player_905,51.28,Medium
player_906,80.06,Medium
player_907,83.42999999999999,High
player_908,191.32,Very High
player_909,151.98,Very High
player_910,76.8,Medium
player_911,138.04,Very High
player_912,135.45,Very High
player_913,35.8,Low
player_914,48.28,Medium
player_915,31.93,Low
player_916,184.35,Very High
player_917,0.0,Low
player_918,73.04,Medium
player_919,38.5,Low
player_920,93.86,High
player_921,47.1,Medium
player_922,61.82,Medium
player_923,83.9,High
player_924,58.92,Medium
player_925,145.92000000000002,Very High
player_926,102.82,High
player_927,254.95000000000002,Very High
player_928,35.14,Low
player_929,111.88,High
player_930,112.64999999999999,High
player_931,118.83,High
player_932,40.92,Low
player_933,58.05,Medium
player_934,60.41,Medium
player_935,59.56,Medium
player_936,0.0,Low
player_937,41.94,Low
player_938,53.4,Medium
player_939,108.81,High
player_940,246.8,Very High
player_941,307.98,Very High
player_942,32.57,Low
player_943,108.36,High
player_944,37.72,Low
player_945,74.34,Medium
player_946,235.6,Very High
player_947,145.14000000000001,Very High
player_948,54.56,Medium
player_949,31.73,Low
player_950,22.57,Low
player_951,79.4,Medium
player_952,83.74,High
player_953,68.62,Medium
player_954,72.08,Medium
player_955,82.28,High
player_956,24.42,Low
player_957,147.88,Very High
player_958,254.1,Very High
player_959,0.0,Low
player_960,92.58,High
player_961,88.9,High
player_962,245.12,Very High
player_963,104.22,High
player_964,97.28,High
player_965,64.6,Medium
player_966,58.89,Medium
player_967,38.78,Low
player_968,76.42,Medium
player_969,101.94,High
player_970,0.0,Low
player_971,195.0,Very High
player_972,105.18,High
player_973,154.41,Very High
player_974,0.0,Low
player_975,188.88,Very High
player_976,161.84,Very High
player_977,46.3,Medium
player_978,0.0,Low
player_979,100.4,High
player_980,85.82,High
player_981,94.28,High
player_982,0.0,Low
player_983,75.14,Medium
player_984,37.87,Low
player_985,96.12,High
player_986,264.65,Very High
player_987,92.06,High
player_988,44.29,Medium
player_989,105.12,High
player_990,99.12,High
player_991,71.78,Medium
player_992,43.92,Medium
player_993,74.24,Medium
player_994,56.58,Medium
player_995,32.92,Low
player_996,117.21000000000001,High
player_997,40.49,Low
player_998,0.0,Low
player_999,40.46,Low
player_1000,93.87,High
player_1001,102.4,High
player_1002,45.3,Medium
player_1003,119.60999999999999,High
player_1004,49.8,Medium
player_1005,58.41,Medium
player_1006,98.0,High
player_1007,168.56,Very High
player_1008,197.56,Very High
player_1009,121.2,High
player_1010,89.78,High
player_1011,135.54,Very High
player_1012,116.07,High
player_1013,123.36,High
player_1014,0.0,Low
player_1015,101.36,High
player_1016,87.94,High
player_1017,65.28,Medium
player_1018,31.89,Low
player_1019,118.26,High
player_1020,0.0,Low
player_1021,0.0,Low
player_1022,96.0,High
player_1023,38.91,Low
player_1024,43.6,Medium
player_1025,227.89999999999998,Very High
player_1026,84.48,High
player_1027,0.0,Low
player_1028,132.36,Very High
player_1029,96.14,High
player_1030,46.99,Medium
player_1031,58.46,Medium
player_1032,45.94,Medium
player_1033,173.88,Very High
player_1034,34.03,Low
player_1035,44.14,Medium
player_1036,38.25,Low
player_1037,83.16,High
player_1038,93.82,High
player_1039,0.0,Low
player_1040,82.94,High
player_1041,0.0,Low
player_1042,34.49,Low
player_1043,136.26,Very High
player_1044,34.24,Low
player_1045,109.92,High
player_1046,58.0,Medium
player_1047,56.16,Medium
player_1048,41.89,Low
player_1049,42.82,Low
player_1050,0.0,Low
player_1051,49.28,Medium
player_1052,51.32,Medium
player_1053,0.0,Low
player_1054,40.0,Low
player_1055,68.5,Medium
player_1056,87.24,High
player_1057,72.88,Medium
player_1058,58.33,Medium
player_1059,0.0,Low
player_1060,160.76,Very High
player_1061,65.08,Medium
player_1062,198.24,Very High
player_1063,142.14000000000001,Very High
player_1064,47.96,Medium
player_1065,121.41,High
player_1066,55.4,Medium
player_1067,101.14,High
player_1068,99.46,High
player_1069,115.28999999999999,High
player_1070,106.78,High
player_1071,0.0,Low
player_1072,115.86,High
player_1073,201.72,Very High
player_1074,90.62,High
player_1075,55.05,Medium
player_1076,0.0,Low
player_1077,51.91,Medium
player_1078,60.48,Medium
player_1079,50.75,Medium
player_1080,0.0,Low
player_1081,52.19,Medium
player_1082,185.6,Very High
player_1083,93.32,High
player_1084,0.0,Low
player_1085,30.28,Low
player_1086,93.82,High
player_1087,97.56,High
player_1088,88.22,High
player_1089,102.5,High
player_1090,125.97,High
player_1091,35.99,Low
player_1092,127.14000000000001,High
player_1093,0.0,Low
player_1094,38.96,Low
player_1095,154.10999999999999,Very High
player_1096,141.18,Very High
player_1097,85.2,High
player_1098,106.42,High
player_1099,84.58,High
player_1100,48.21,Medium
player_1101,57.56,Medium
player_1102,61.94,Medium
player_1103,38.17,Low
player_1104,52.13,Medium
player_1105,0.0,Low
player_1106,60.79,Medium
player_1107,127.56,Very High
player_1108,77.84,Medium
player_1109,50.03,Medium
player_1110,99.8,High
player_1111,68.3,Medium
player_1112,51.18,Medium
player_1113,160.47,Very High
player_1114,48.6,Medium
player_1115,141.63,Very High
player_1116,76.48,Medium
player_1117,160.15,Very High
player_1118,93.0,High
player_1119,138.75,Very High
player_1120,29.03,Low
player_1121,147.32999999999998,Very High
player_1122,0.0,Low
player_1123,193.04,Very High
player_1124,159.51,Very High
player_1125,182.04,Very High
player_1126,127.26,High
player_1127,113.4,High
player_1128,101.58,High
player_1129,71.2,Medium
player_1130,68.6,Medium
player_1131,115.0,High
player_1132,153.04,Very High
player_1133,164.52,Very High
player_1134,42.77,Low
player_1135,251.04,Very High
player_1136,25.61,Low
player_1137,48.43,Medium
player_1138,120.76,High
player_1139,0.0,Low
player_1140,193.48,Very High
player_1141,109.41,High
player_1142,84.42,High
player_1143,92.44,High
player_1144,0.0,Low
player_1145,53.22,Medium
player_1146,64.16,Medium
player_1147,0.0,Low
player_1148,51.34,Medium
player_1149,133.71,Very High
player_1150,232.56,Very High
player_1151,50.42,Medium
player_1152,96.81,High
player_1153,0.0,Low
player_1154,67.84,Medium
player_1155,53.43,Medium
player_1156,99.84,High
player_1157,206.92,Very High
player_1158,0.0,Low
player_1159,40.97,Low
player_1160,118.05000000000001,High
player_1161,131.52,Very High
player_1162,50.73,Medium
player_1163,0.0,Low
player_1164,163.76,Very High
player_1165,57.82,Medium
player_1166,45.95,Medium
player_1167,78.2,Medium
player_1168,0.0,Low
player_1169,106.52,High
player_1170,167.13,Very High
player_1171,100.52,High
player_1172,103.78,High
player_1173,33.49,Low
player_1174,42.29,Low
player_1175,102.98,High
player_1176,0.0,Low
player_1177,182.6,Very High
player_1178,0.0,Low
player_1179,47.33,Medium
player_1180,97.96,High
player_1181,132.60000000000002,Very High
player_1182,42.43,Low
player_1183,66.08,Medium
player_1184,133.38,Very High
player_1185,65.84,Medium
player_1186,166.2,Very High
player_1187,86.61,High
player_1188,179.55,Very High
player_1189,21.41,Low
player_1190,147.87,Very High
player_1191,52.7,Medium
player_1192,44.39,Medium
player_1193,0.0,Low
player_1194,227.04999999999998,Very High
player_1195,86.66,High
